Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield
France,1972,FRA,Europe,Western Europe,261730647.2,8692.63,12.83,3357412.85,68.42,38.6,42.97,171.97,35.15,11.5,34.09,5401669.8,2358929.27,3.86,0,0,0,34.5,3,52.43
Australia,2003,AUS,Oceania,Australia & New Zealand,173796468.3,6859.2,21.36,3712749.98,55.43,38.46,16.22,229.24,58.53,6.52,16.04,3418789.56,9694348.04,3.28,0,0,0,31.78,4,58.38
Germany,1963,DEU,Europe,Western Europe,123636586.3,22075.95,32.08,3965950.73,86.47,10,51.72,203.26,87.89,8.25,14.41,8987281.13,5451632.23,1.1,0,0,0,51.55,1,32.18
France,1965,FRA,Europe,Western Europe,298996149.6,3728.03,47.65,14246846.47,69.81,34.01,43.57,34.18,130.56,11,38.5,5179004.21,8048500.02,2.76,0,0,0,80.39,2,84.3
Germany,2010,DEU,Europe,Western Europe,7341531.439,40420.97,23.21,170428.83,63.77,23.11,53.54,78.73,63.61,14.89,36.19,6463438.82,7062910.41,4.22,0,0,1,49.7,3,66.11
South Africa,1997,ZAF,Africa,Sub-Saharan Africa,91997984.18,45446.26,66.8,6145419.19,53.9,29.02,59.08,209.46,183.03,14.89,14.45,2178783.36,8683157.89,1.17,0,0,0,77.15,1,98.64
India,1965,IND,Asia,South Asia,84323272.64,12795.51,19.31,1628629.37,68.33,32.16,20.46,163.21,52.92,11.99,10.98,2667298.79,8357259.59,0.56,0,0,0,81.82,4,30.24
Mexico,1970,MEX,North America,Central America,107504875.8,24532.73,55.63,5980383.13,80.79,9.36,30.24,18.95,152.42,8.88,19.81,9314142.65,600850,1.1,0,0,0,83.7,5,54.96
Mexico,1986,MEX,North America,Central America,69948126.61,26193.62,28.7,2007435.89,78.69,32.96,24.23,224.12,78.64,12.97,22.69,531519.09,2956299.23,1.33,0,1,0,45.86,5,69.93
Russia,2013,RUS,Europe,Eastern Europe,80014587.79,49257.56,59.17,4734547.74,69.86,15.6,4.66,33.03,162.13,5.7,10.89,3410436.53,5576824.32,3.34,0,0,1,63.19,4,37.73
Mexico,2005,MEX,North America,Central America,78045455.87,3748.17,65,5073100.68,78.78,30.63,24.3,63.6,178.11,13.99,5.86,4956976.39,8327869.94,2.02,0,1,0,24.33,3,49.82
Brazil,2018,BRA,South America,South America,192144750.5,25339.41,15.03,2888662.25,53.43,26.8,53,19.94,41.19,8.37,7.41,9982686.67,7504825.31,3.14,0,0,0,62.73,1,66.02
USA,1994,USA,North America,Northern America,154805946.8,11243.21,50.88,7876316.04,57.97,33.36,17.55,15.05,139.41,13.42,34.42,5816510.81,6423367.16,1.88,1,0,0,36.99,3,53.87
India,2020,IND,Asia,South Asia,55843133.86,8431.99,59.1,3300076.54,85.11,36.31,45.51,281.31,161.92,11.91,20.48,5187507.51,9167883,3.12,0,1,1,57.11,5,88.44
Russia,1999,RUS,Europe,Eastern Europe,243203448.7,12556.48,30.32,7372813.72,61.75,20.72,4.58,118.03,83.06,4.48,11.24,4229947.29,8666661.07,4.6,0,0,1,17.38,2,71.83
Brazil,1963,BRA,South America,South America,142186364.3,4027.47,30.79,4377748.77,58.24,18.73,1.81,190.14,84.36,11.7,18.52,7771864.32,2466251.89,2.31,1,0,1,46.75,3,99.24
China,1986,CHN,Asia,East Asia,46816223.85,14265.47,18.25,854376.69,53.56,13.48,59.73,130.04,50,13.25,35.3,7226770.98,3430919.98,4.74,0,1,1,62.14,1,76.91
Brazil,1975,BRA,South America,South America,50897073.04,34672.37,24.92,1268596.96,65.72,33.48,7.38,71.89,68.29,4.53,9.27,6442543.17,2744920.56,4.37,0,0,0,19.68,2,64.15
USA,1977,USA,North America,Northern America,239293554.7,32748.36,26.05,6234326.67,52.68,38.85,45.95,264.53,71.39,3.4,8.45,1747995.8,5178544.85,0.6,0,1,0,36.58,2,95.94
Germany,1966,DEU,Europe,Western Europe,211194962.1,27947.56,15.11,3191647.54,69.88,11.84,36.27,285.4,41.41,3.08,38.8,1187957.81,673641.02,3.51,0,0,0,12.26,3,99.17
Germany,1970,DEU,Europe,Western Europe,152451857.8,519.18,25.15,3833690.85,86.77,21.02,27.18,296.47,68.9,2.87,15.27,4912691.85,3610894.23,2.03,0,1,1,16.47,5,49.41
